poem
"是个碑文念得全,聪明灵性自天然.离吴别楚三千里,入洛游梁二十年.负艺已闻喧世界,高眠长见卧云烟.相逢与我情何厚,问佛方知宿有缘."
"此事从来已绝疑,安然乐道合希夷.依山偶得还源旨,拂石闲题出格诗.水待冻开成细溜,薪从霜后拾枯枝.因兹永断攀缘意,誓与青松作老期."
"古树交盘簇径深,阒无人到为难寻.祇和算计千般事,谁解消停一点心.冰锁瀑声中夜断,云吞岳影半天沈.寒灯欲绝禅初起,透牖疏风触短襟."
"祇园闲适乐箪瓢,莫讶烟霞道路遥.龙穴定知潜碧海,鹏程终是望丹霄.拨云岩下来泉脉,嚼草坡边辨药苗.门锁薜萝无客至,庵前时有白云朝."
"贪生养命事皆同,独坐闲居意颇慵.入夏驱驰巢树鹊,经春劳役探花蜂.石炉香尽寒灰薄,铁磬声微古锈浓.寂寂虚怀无一念,任从苍藓没行踪."
"心地须教合死灰,藏机泯迹绝梯媒.芳兰祇为因香折,良木多从被直摧.寒逼花枝红未吐,日融水面绿全开.支颐独坐经窗下,一片云闲入户来."
"达来何处更追寻,放旷谁论古与今.风带泉声流谷口,云和山影落潭心.资身自有衣中宝,济世谁藏室内金.策杖偶来林下坐,鸟声相和唱圆音."
"事多兴废莫持论,唯有禅宗理可尊.似讷始平分别路,如愚方塞是非门.刳肠祇为生灵智,剖舌多因强语言.争似息机高卧客,年来年去道长存."
"碧峤经年常寂寂,更无闲事可相于.超伦每效高僧行,得力难忘古佛书.落叶乱渠凭水荡,浮云翳月倩风除.方知嬾与真空合,一衲闲披憩旧庐."
"幽斋独坐绝参详,兀尔何如骤世忙.拯济终凭宏愿力,安闲须得守愚方.柴门半掩花空落,苔径虚踪草自荒.最好静中无一事,翛然唯得道芽长."
"旷然不被兴亡坠,豁尔难教宠辱惊.鼓角城遥无伺候,轮蹄路绝免逢迎.暖眠纸帐茅堂密,稳坐蒲团石面平.祇有此途为上策,更无余事可关情."
"触目堪嗟失路人,坦然王道却迷津.井籐梗上存余命,石火光中保幻身.任老岂知头顶白,忘缘谁觉世闲春.容颜枯槁元非病,亭沼消疏不是贫."
"言行相应宜此地,空谈大隠也无端.升沈岐路非他得,生熟根机且自看.瞋火微烟还渐息,贪泉余润亦消干.平生正直须甘取,虚幻门中莫自瞒."
"怡和心境了然同,大道无私处处通.举世岂怀身后虑,谁人暂省事前空.门开岩石千山月,帘卷溪楼一槛风.羸体健来知药力,缘心寂后觉神功."
"进退应须与智论,浮萍自在为无根.埽门何太抛途辙,解珮犹能弃渥恩.草径旋封迷旧迹,苔阶乱织露新痕.不唯此景供游赏,无限烟萝尽一吞."
"尘网休重织是非,冥心何不合玄微.庄周梦里多迷旨,惠子渔中少见机.拶路古松和冻折,盘空枯叶带霜飞.一言可达知音者,还得从吾此路归."
"抱朴澄神蕴道光,石炉闲𦶟六时香.曳空横野云和静,逗石穿崖水自忙.晚圃雨来葵叶嫩,晴坡烧后蕨苗长.一心包尽乾坤内,莫把闲文更度量."
"松萝闲锁一身孤,履道安禅是密谟.借问野云谁断续,思量春草自荣枯.多见异兽心堪伏,来惯幽禽不用呼.万物尽从成熟得,莫教容易丧工夫."
"平生初志已酬之,怀抱怡然寂有归.古帙懒开缘得意,幽房长闭为忘机.数行鸟阵连云没,一带泉声隔岭微.道合古今浑总是,何须更虑昔年非."
"青山一坐万缘休,努力应须与古俦.散诞襟怀因绝趣,消疏活计为无求.花明小砌和春月,松暗前轩带雨秋.景像自开还自合,怡然何必更忘忧."
"自甘疏拙懒经营,大道从来戒满盈.但起贪心迷有限,谁能触目悟无生.云融远景危峰小,风戛寒溪野艇横.禅后不妨敷六义,祇图歌出野人情."
"忙处须闲淡处浓,世情疏后道情通.了然得旨青冥外,兀尔虚心罔象中.泉细石根飞不尽,云蒙山脚出无穷.樵夫钓客虽闲散,未必真栖与我同."
"且停多事莫矜夸,寂寞门中有道华.隈岭静同猿窟宅,栽松闲共鹤生涯.荣来祇爱添余禄,春过谁能悟落花.唯有卧云尘外客,无思无虑老烟霞."
"沈沈竹院锁轻烟,澹澹霞光欲曙天.遇境偶吟情自逸,逢人话道意无偏.古松交处眠青帐,细草浓时坐碧毡.祇此逍遥何所得,蔬食寒寝度年年."
"危岭如登百尺楼,千般异景望中收.浮生但向忙时过,万事须从静处休.道直岂教容鬼怪,理平唯祇使魔愁.空门莫说无知己,满目松萝是我俦."
"巨侵层峦本自平,只缘人世强分明.五侯门外悲观意,长乐坡头去住情.学道不如忘有念,修身争是了无生.三祗功业犹难及,谁信尘劳直下明."
"雾锁烟霾宴寂堂,含虚凝绿水云乡.搜玄偈里真风远,招隠诗中野思长.真柏最宜堆厚雪,危花终怯下轻霜.滔滔一点无依处,举足方知尽道场."
"投足烟峦养病躯,驰求终是用工夫.千般有作皆从智,万种无依自合愚.意地已抛尘事业,心田唯种稻根株.非时免见千人世,野食山袍自有谟."
"急景韶颜不可追,岂堪回首暂思之.浮云已断平生望,高节须存往日期.庭树任猿偷熟果,崖松停鹤惜高枝.轮蹄碌碌何时歇,辗尽红尘为阿谁."
"幽栖岂可事徒然,昼讽莲经夜坐禅.吟里有声皆实相,定中无境不虚玄.直教似月临千界,还遣如空度万缘.从此必知宏此志,免教虚掷愧前贤."
"何如深谷一遗人,宴坐经行不累身.废宅可嗟频换主,凋丛愁见几回春.尖尖石笑烟笼碧,点点苔钱雨洗新.堪笑古人非我意,居山多是避强秦."
"有山有水更何忧,知足能令万事休.大道不从心外得,浮荣须向世闲求.冲开烟缕飞黄鸟,点破潭心瀁白鸥.好景尽归余掌握,岂劳艰险访瀛洲."
"万事从来祇自招,安危由己路非遥.笙歌韵里花先落,松桧枝闲云未消.数下磬声孤月夜,一炉香翥白云朝.谁人会我高楼意,门掩空庭思寂寥."
"万象从来一径通,但缘分别便西东.遗簪祇为情难尽,泣路方知意未穷.偃仰不抛青嶂里,往来多在白云中.平生分野应难比,涧饮林栖得古风."
"遁逸从来格自高,莫将泰岳比秋毫.冷烟寒月真吾侣,瘦竹苍松是我曹.霜树叶疏幽径出,云泉声急晓风高.唯当话道闲吟外,时得工夫补毳袍."
"任运腾腾无所依,闲游长坐性怡怡.疏林不遣闲人到,密意多应夜月知.骤雨过时苔路滑,拨云行处石桥危.尘沙劫尽清风在,何假虚名上古碑."
"抱拙藏锋过暮年,高名何必指前贤.祇于心上标空界,谁说壶中别有天.鬰密远林停宿雾,萧骚疏竹埽寒烟.从兹不更移瓶锡,身外无余意了然."
"息业怡神道最孤,藏名匿迹合良图.冥心难使龙神见,出语须教海岳枯.云驻庵前疑有意,鸟鸣庭际似相呼.资持随分安排了,最急应须与道俱."
